CustomerID,Recency,Frequency,Monetary,TotalUnits,UniqueSKUs,AvgUnitPrice,Tenure,AOV,AvgBasketSize,CancelledOrders,CancellationRate
12346,326,1,77183.6,74215,1,1.04,0,77183.6,74215.0,1,0.5
12347,2,7,4310.0,2458,103,2.644010989010989,365,615.7142857142857,351.14285714285717,0,0.0
12348,75,4,1437.24,2332,21,0.692962962962963,282,359.31,583.0,0,0.0
12349,19,1,1457.55,630,72,4.237500000000001,0,1457.55,630.0,0,0.0
12350,310,1,294.4,196,16,1.58125,0,294.4,196.0,0,0.0
12352,36,7,1385.74,526,57,4.075454545454545,260,197.96285714285713,75.14285714285714,1,0.125
12353,204,1,89.0,20,4,6.074999999999999,0,89.0,20.0,0,0.0
12354,232,1,1079.4,530,58,4.5037931034482765,0,1079.4,530.0,0,0.0
12355,214,1,459.4,240,13,4.203846153846154,0,459.4,240.0,0,0.0
12356,23,3,2487.43,1573,52,2.9460344827586207,302,829.1433333333333,524.3333333333334,0,0.0
12357,33,1,6207.67,2708,131,3.3486259541984733,0,6207.67,2708.0,0,0.0
12358,2,2,928.0600000000001,242,12,4.541764705882353,149,464.03000000000003,121.0,0,0.0
12359,58,4,6310.03,1609,214,8.664530612244898,274,1577.5075,402.25,2,0.3333333333333333
12360,52,3,2302.06,1156,104,2.681825396825397,148,767.3533333333334,385.3333333333333,0,0.0
12361,287,1,174.9,90,9,2.038888888888889,0,174.9,90.0,0,0.0
12362,3,10,4737.23,2197,200,3.4972265625,292,473.72299999999996,219.7,3,0.23076923076923078
12363,110,2,552.0,408,23,2.3117391304347827,132,276.0,204.0,0,0.0
12364,8,4,1208.1,1499,69,1.2638271604938272,104,302.025,374.75,0,0.0
12365,291,1,320.69,173,21,2.6961904761904765,0,320.69,173.0,0,0.0
12367,4,1,150.9,172,10,1.72,0,150.9,172.0,0,0.0
12370,51,4,3421.94,2349,142,2.569090909090909,309,855.485,587.25,0,0.0
12371,60,1,1527.96,582,62,3.291612903225807,0,1527.96,582.0,0,0.0
12372,72,3,1196.04,788,33,2.1442857142857146,224,398.68,262.6666666666667,0,0.0
